palabra_asociada,frecuencia_total
machine learning,120
privacy,57
training data,16
personalization,16
transparency,8
explainability,3
ethics,3
generative models,1
prompting,1
algorithmic bias,1
fine-tuning,0
multimodality,0
human-ai interaction,0
ai literacy,0
co-creation,0
