entry_key,first_author,country_alpha3
,"Matheja, Christoph",COM
,"Grohe, Martin",COM
,"Vukmirović, Petar",COM
,"Blondin, Michael",COM
,"Filmus, Yuval",COM
,"Aameri, Bahar",COM
,"Jarlebring, Elias",COM
,"Gauthier, Robert P.",COM
,"Buchin, Kevin",COM
,"Schuler, Douglas",COM
,"Lawson, Margaret",COM
,"Nowara, Ewa",COM
,"Liu, Haochen",COM
,"van Nuenen, Tom",COM
,"Kurte, Kuldeep",COM
,"Chia, Nai-Hui",COM
,"Kleinman, Erica",COM
,"Aceto, Luca",COM
,"Doherty, Simon",COM
,"Chen, Jinsheng",COM
,"Hu, Jason Z. S.",COM
,"Enqvist, Sebastian",COM
,"Barrett, Chris",COM
,"Case, Adam",COM
,"HeydariGorji, Ali",COM
,"Michaud, Damien",COM
,,COM
,"de Mooij, Jan",COM
,"Giannini, Tula",COM
,"Corbara, Silvia",COM
,"Lv, Zhihan",COM
,"Fekete, Sándor P.",COM
,"Khaniki, Erfan",COM
,"Wu, Kang",COM
,"Mike, Koby",COM
,"Wu, Xiaoliang",COM
,"Honorio, Bruno Chinelato",COM
,"Kodnongbua, Milin",COM
,"Chen, Rulin",COM
,"Pietroni, Nico",COM
,"Pellegrini, Mason",COM
,"Vinçon, Tobias",COM
,"Eifler, Leon",COM
,"Fekete, Sándor P.",COM
,"Shah, Nihar B.",COM
,"Crusoe, Michael R.",COM
,"Kooli, Maha",COM
,"Shapirovsky, Ilya",COM
,"Gokmen, Sabri",COM
,"Gratzer, Daniel",COM
,"Feng, Yuan",COM
,"Dagnino, Francesco",COM
,"Fomin, Fedor V.",COM
,"Larose, Benoît",COM
,"Blumenthal, Johanna",COM
,"Quaranta, Luigi",COM
,"Katuka, Gloria Ashiya",COM
,"Gu, Bo",COM
,"Varde, Aparna S.",COM
,"Tang, Zhiwen",COM
,"Demaine, Erik D.",COM
,"Yan, Runze",COM
,"Crum, Justin",COM
,"Scott, Jennifer",COM
,"Balos, Cody J.",COM
,"Balbiani, Philippe",COM
,"Luo, Feiya",COM
,"Kutay, Emine",COM
,"Podder, Moumanti",COM
,"Wang, April Yi",COM
,"Gauthier, Robert P.",COM
,"Sutton, Jonathan",COM
,"Grädel, Erich",COM
,"Almagor, Shaull",COM
,"Anevlavis, Tzanis",COM
,"Kupke, Clemens",COM
,"Kesner, Delia",COM
,"Gassama, Abdulai",COM
,"Pessanha, Francisca",COM
,"Hogervorst, Tom",COM
,"Jones, Benjamin",COM
,"Zhang, Yongqi",COM
,"Blumenthal, Johanna",COM
,"Nanni, Federico",COM
,"Du, Tao",COM
,"Huang, Ling",COM
,"Bodirsky, Manuel",COM
,"Dawar, Anuj",COM
,"Barthe, Gilles",COM
,"Denning, Peter J.",COM
,"Lai, Rina P. Y.",COM
,"Berres, Andy",COM
,"Reynante, Brandon",COM
,"Kasahara, Shunichi",COM
,"Durand, Arnaud",COM
,"Guidi, Ferruccio",COM
,"Gallo, Fabio R.",COM
,"Kiefer, Sandra",COM
,"Shojaati, Narjes",COM
,"Miller, Mark Roman",COM
,"Razi, Afsaneh",COM
,"Biggs, Heidi",COM
,"Zhang, Ran",COM
,"Cılasun, Hüsrev",COM
,"Heltai, Luca",COM
,"Liu, Jian",COM
,"Adámek, Jiří",COM
,"Hertling, Peter",COM
,"Konovalov, Aleksandr Yu.",COM
,"Arenas, Marcelo",COM
,"Ganty, Pierre",COM
,"Blumenthal, Johanna",COM
,"Doryab, Afsaneh",COM
,"Ali, Dilawar",COM
,"De Rudder, Laurent",COM
,"Quinn, Clark",COM
,"Guerreiro, Andreia P.",COM
,"Andelfinger, Philipp",COM
,"Dudenhefner, Andrej",COM
,"Jiang, Caigui",COM
,"Panetta, Julian",COM
,"Wei, Hui",COM
,"Pellis, Davide",COM
,"Ma, Pingchuan",COM
,"Grossmann, Gerrit",COM
,"Kim, Lawrence H.",COM
,"Skeba, Patrick",COM
,"Pinto, Luís Aleixo H. Sofía",COM
,"Sinders, Caroline",COM
,"Deuser, Kaya",COM
,"Ciabattoni, Agata",COM
,"Broadbent, Christopher H.",COM
,"Martini, Simone",COM
,"Lucia, Brandon",COM
,"Khurana, Malika",COM
,"Roy, Soumyadeep",COM
,"Lopes, Bruno",COM
,"Benedikt, Michael",COM
,"Broadbent, Christopher H.",COM
,"Gutierrez, Julian",COM
,"Kuznetsov, Stepan",COM
,"Krajíček, Jan",COM
,"Demri, Stéphane",COM
,"Wiese, Eliane S.",COM
,"Liu, Yuhang",COM
,"Keyes, Os",COM
,"Arakawa, Riku",COM
,"Schuler, Douglas",COM
,"Osborn, Sarah",COM
,"Ríssola, Esteban A.",COM
,"Saqr, Mohammed",COM
,"Tran, Dat",COM
,"Feit, Anna Maria",COM
,"Kurte, Kuldeep",COM
,"Blumenthal, Johanna",COM
,"Blumenthal, Johanna",COM
,"Itsykson, Dmitry",COM
,"Halskov, Kim",COM
,"Kim, Han Sung",COM
,"Koutsos, Adrien",COM
,"Basaldella, Michele",COM
,"Cao, Hancheng",COM
,"Neang, Andrew B.",COM
,"Bogaerts, Bart",COM
,"Berthon, Raphaël",COM
,"Cockx, Jesper",COM
,"Chen, Chao-Hong",COM
,"Pellegrini, Alessandro",COM
,"Drosopoulos, Georgios A.",COM
,"Berthon, Raphaël",COM
,"Del-Moral, M. Esther",COM
,,COM
,"Oetsch, Johannes",COM
,,COM
,"Gavriil, Konstantinos",COM
,"Britz, Katarina",COM
,"Shreeve, Benjamin",COM
,"Baldan, Paolo",COM
,"Bomanson, Jori",COM
,"Meyden, Ron Van Der",COM
,"Chatterjee, Deya",COM
,"Bleyer, Jeremy",COM
,"Cucerca, Sebastian",COM
,"Montes, Juan",COM
,"Cohen, Liron",COM
,"Baader, Franz",COM
,"Gruber, Anthony",COM
,"Vinçon, Tobias",COM
,"Moore, Rhonda J.",COM
,"Ahrens, Willow",COM
,"Gajarský, Jakub",COM
,"Gajarský, Jakub",COM
,"Amarilli, Antoine",COM
,"McDonald, Sharon",COM
,"Rajsbaum, Sergio",COM
,"Alistarh, Dan",COM
,"Shukla, Diksha",COM
,"Whiting, Mark E.",COM
,"Saxena, Devansh",COM
,"Carta, Silvio",COM
,"Cavalcanti, Ana",COM
,"Zhang, Paul",COM
,"Pitts, Andrew M.",COM
,"Menghi, Claudio",COM
,"Hamilton, Kathleen E.",COM
,"Rai, Sunny",COM
,"Goncharov, Sergey",COM
,"Zhu, Binhai",COM
,"Fiorentini, Camillo",COM
,"Herbreteau, Frédéric",COM
,"Saha, Manaswi",COM
,"Echenim, Mnacho",COM
,"Eickmeyer, Kord",COM
,"Patton, Desmond Upton",COM
,"Hernich, André",COM
,"Burel, Guillaume",COM
,"Carayol, Arnaud",COM
,"Magdy, Amr",COM
,"Nath, Sahajiya",COM
,"Abulaish, Muhammad",COM
,"Werner, Linda",COM
,"Iseringhausen, Julian",COM
,"Tomović, S.",COM
,"Montenegro, Manuel",COM
,"Carreiro, Facundo",COM
,"Feng, Shiguang",COM
,"Balbiani, Philippe",COM
,"Rajsbaum, Sergio",COM
,"Lindquist, Neil",COM
,"Beyersdorff, Olaf",COM
,"Place, Thomas",COM
,"Wang, Miao",COM
,"Wang, April Yi",COM
,"Whiting, Mark E.",COM
,"Cerna, David",COM
,"Guzdial, Mark",COM
,"Joshi, Aditya",COM
,"Peled, Leeor",COM
,"Bana, Gergei",COM
,"Basin, David",COM
,"Benedikt, Michael",COM
,"Hella, Lauri",COM
,"Ghilardi, Silvio",COM
,"Dumitrescu, Adrian",COM
,"Fan, Tuan-Fang",COM
,"Almoqbel, Mashael",COM
,"Chrétien, Rémy",COM
,"Caragiannis, Ioannis",COM
,"Conradie, Willem",COM
,"Bugayenko, Yegor",COM
,"Gomes, Carla",COM
,"Borralleras, Cristina",COM
,"Nalon, Cláudia",COM
,"Aameri, Bahar",COM
,"Horne, Ross",COM
,"Huang, Xiaowei",COM
,"Chalopin, Jérémie",COM
,"Bortolussi, Luca",COM
,"Liu, Hao",COM
,"Zhang, Xiaoting",COM
,"Xu, Jie",COM
,"Kirkpatrick, Keith",COM
,"Frauenberger, Christopher",COM
