palabra,score_promedio_tfidf,frecuencia_total,n_docs_con_palabra
model,0.030146730565748982,1676,660
data,0.029855648373670298,1601,618
study,0.019845055994965714,1182,729
based,0.01903576540082388,1130,740
learning,0.023460697153186886,1016,386
method,0.020019877999373846,924,484
results,0.015766113319333155,913,732
research,0.016395925826831914,849,529
analysis,0.016966377183539518,836,509
accuracy,0.017076485143444405,786,443
algorithm,0.01903328018482244,755,316
time,0.015620335628152498,685,422
design,0.01730659570307129,680,299
students,0.01623499162374733,557,181
teaching,0.01731189229119775,541,145
